"","ref","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","field_season.1","site.1","coral_tag.1","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Dist"
"KI14FSYM094","KI2014.tag94","KI14FSYM094","94","coral","KI2014","Montipora_foliosa","35","dead","KI2014",35,"94","","DL","17-02-2016","63.994","52.613","2407.873","n","n","n","y","y","y","Halimeda","y","y","y","n","NONE","","","KI2014","HighMed"
"KI14FSYM097","KI2014.tag97","KI14FSYM097","97","coral","KI2014","Porites_lobata","35","UK","KI2014",35,"97","","JL","18-02-2016","76.844","72.547","3587.871","n","n","n","y","y","y","Halimeda, Peysson_red","y","y","y","n","NONE","","","KI2014","HighMed"
"KI14FSYM098","KI2014.tag98","KI14FSYM098","98","coral","KI2014","Montipora_foliosa","35","dead","KI2014",35,"98","","JL","18-02-2016","77.938","37.33","2438.995","n","n","n","y","y","y","Halimeda","y","y","y","y","1","a few small spots, bleaching along some edges ","","KI2014","HighMed"
"KI14FSYM102","KI2014.tag102","KI14FSYM102","102","coral","KI2014","Montipora_foliosa","35","dead","KI2014",35,"102","","JL","9/3/2016","56.141","40.436","1785.277","n","n","n","y","y","y","Halimeda, Peysson_red","y","y","y","n","NONE","","","KI2014","HighMed"
"KI14FSYM106","KI2014.tag106","KI14FSYM106","106","coral","KI2014","Pocillopora_eydouxi","35","dead","KI2014",35,"106","","JL","9/3/2016","NONE","NONE","NONE","n","n","n","y","y","y","Halimeda, Peysson_yellow","y","n","y","n","NONE","tag was too close to camera for accurate measurments","","KI2014","HighMed"
"KI14FSYM107","KI2014.tag107","KI14FSYM107","107","coral","KI2014","Porites_lobata","35","UK","KI2014",35,"107","","JL","9/3/2016","47.307","48.986","1406.958","n","n","n","y","y","y","Halimeda, Peysson_red, Peysson_yellow","y","y","y","n","NONE","","","KI2014","HighMed"
"KI14FSYM109","KI2014.tag109","KI14FSYM109","109","coral","KI2014","Pocillopora_eydouxi","35","dead","KI2014",35,"109","","DL","10/3/2016","37.712","28.795","592.002","n","n","n","y","y","n","NONE","y","n","y","n","NONE","","","KI2014","HighMed"
"KI14FSYM129","KI2014.tag129","KI14FSYM129","129","coral","KI2014","Pocillopora_eydouxi","30","alive","KI2014",30,"129","","DL","18-02-2016","22.449","11.181","173.273","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM132","KI2014.tag132","KI14FSYM132","132","coral","KI2014","Pocillopora_eydouxi","30","dead","KI2014",30,"132","","JL","17-02-2016","34.012","31.199","709.957","n","n","n","y","y","n","NONE","n","y","y","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM133","KI2014.tag133","KI14FSYM133","133","coral","KI2014","Montipora_foliosa","30","gone","KI2014",30,"133","","JL","17-02-2016","33.525","28.721","585.619","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM134","KI2014.tag134","KI14FSYM134","134","coral","KI2014","Montipora_foliosa","30","gone","KI2014",30,"134","","JL","17-02-2016","40.912","34.619","749.128","n","n","n","y","y","n","NONE","y","y","y","y","1","bleaching along some edges, a few small bleached spots","","KI2014","VeryHigh"
"KI14FSYM137","KI2014.tag137","KI14FSYM137","137","coral","KI2014","Montipora_foliosa","30","gone","KI2014",30,"137","","JL","17-02-2016","37.285","30.399","766.474","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM140","KI2014.tag140","KI14FSYM140","140","coral","KI2014","Porites_lobata","30","UK","KI2014",30,"140","","DL","4/2/2016","26.828","23.721","470.791","n","y","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM142","KI2014.tag142","KI14FSYM142","142","coral","KI2014","Pocillopora_eydouxi","30","UK","KI2014",30,"142","","DL","4/2/2016","15.916","14.409","134.162","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM143","KI2014.tag143","KI14FSYM143","143","coral","KI2014","Montipora_foliosa","30","dead","KI2014",30,"143","","DL","4/2/2016","36.764","26.742","470.489","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM144","KI2014.tag144","KI14FSYM144","144","coral","KI2014","Porites_lobata","30","gone","KI2014",30,"144","","DL","4/2/2016","31.636","25.632","576.929","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM147","KI2014.tag147","KI14FSYM147","147","coral","KI2014","Montipora_foliosa","30","UK","KI2014",30,"147","","DL","4/2/2016","48.029","37.245","979.347","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM151","KI2014.tag151","KI14FSYM151","151","coral","KI2014","Porites_lobata","30","alive","KI2014",30,"151","","DL","18-02-2016","29.324","25.175","500.226","n","n","n","y","y","n","NONE","n","y","y","y","1","A few small bleached areas ","","KI2014","VeryHigh"
"KI14FSYM265","KI2014.tag265","KI14FSYM265","265","coral","KI2014","Montipora_foliosa","27","UK","KI2014",27,"265","","HD","18-03-2016","22.698","20.212","265.667","n","n","n","y","y","n","NONE","n","y","y","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM387","KI2014.tag387","KI14FSYM387","387","coral","KI2014","Porites_lobata","30","gone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14FSYM448","KI2014.tag448","KI14FSYM448","448","coral","KI2014","Montipora_foliosa","27","UK","KI2014",27,"448","","JL","26-01-2016","29.922","23.63","536.824","n","n","n","y","y","n","NONE","n","y","n","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM468","KI2014.tag468","KI14FSYM468","468","coral","KI2014","Pocillopora_eydouxi","27","UK","KI2014",27,"468","","JL","19-02-2016","21.427","13.976","218.977","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM476","KI2014.tag476","KI14FSYM476","476","coral","KI2014","Porites_lobata","27","gone","KI2014",27,"476","","JL","19-02-2016","16.915","14","160.11","n","y","n","y","y","n","NONE","y","y","n","y","1","a few samll bleached spots, some around algal patch ","","KI2014","VeryHigh"
"KI15aFSYM004","KI2015a_Pre.tag5b","KI15aFSYM004","5b","coral","KI2015a_Pre","Pocillopora_eydouxi","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aFSYM005","KI2015a_Pre.tag2_572","KI15aFSYM005","2_572","coral","KI2015a_Pre","Montipora_foliosa","35","gone","KI2015a",35,"2_572","_Pre","HD","16-09-2016","NONE","NONE","NONE","n","n","n","y","y","n","NONE","n","y","y","n","NONE","","","KI2015a_Pre","HighMed"
"KI15aFSYM006","KI2015a_Pre.tag6b","KI15aFSYM006","6b","coral","KI2015a_Pre","Porites_lobata","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aFSYM007","KI2015a_Pre.tag7","KI15aFSYM007","7","coral","KI2015a_Pre","Montipora_foliosa","35","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aFSYM008","KI2015a_Pre.tag87","KI15aFSYM008","87","coral","KI2015a_Pre","Porites_lobata","35","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aFSYM009","KI2015a_Pre.tag14","KI15aFSYM009","14","coral","KI2015a_Pre","Montipora_foliosa","35",NA,"KI2015a",35,"14","_Pre","HD","15-09-2016","31.966","27.363","567.112","n","n","n","y","y","y","Halimeda","n","y","y","n","NONE","","","KI2015a_Pre","HighMed"
"KI15aFSYM011","KI2015a_Pre.tag10b","KI15aFSYM011","10b","coral","KI2015a_Pre","Porites_lobata","35",NA,"KI2015a",35,"10b","_Pre","HD","16-09-2016","50.169","36.537","907.134","n","n","n","y","y","y","Halimeda","y","y","y","n","NONE","","","KI2015a_Pre","HighMed"
"KI15aFSYM013","KI2015a_Pre.tag574","KI15aFSYM013","574","coral","KI2015a_Pre","Montipora_foliosa","35","gone","KI2015a",35,"574","_Pre","JL","22-03-2016","33.495","15.426","332.238","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015a_Pre","HighMed"
"KI15aFSYM083","KI2015a_Post.tag2_572","KI15aFSYM083","2_572","coral","KI2015a_Post","Montipora_foliosa","35","gone","KI2015a",35,"2_572","_Post","HD","16-09-2016","65.674","61.242","2438.946","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015a_Post","HighMed"
