"","ref","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","field_season.1","site.1","coral_tag.1","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Dist"
"KI15bFSYM012","KI2015b.tag574","KI15bFSYM012","574","coral","KI2015b","Montipora_foliosa","35","gone","KI2015b",35,"574","","HD","5/8/2016","22.333","11.727","193.202","n","n","n","y","y","n","NONE","n","y","y","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM014","KI2015b.tag13","KI15bFSYM014","13","coral","KI2015b","Pocillopora_eydouxi","35","dead","KI2015b",35,"13","","HD","5/8/2016","33.393","19.473","245.35","n","n","n","y","y","n","NONE","y","y","y","y","2","some branches fully bleached","","KI2015b","HighMed"
"KI15bFSYM016","KI2015b.tag636","KI15bFSYM016","636","coral","KI2015b","Pocillopora_eydouxi","35","UK","KI2015b",35,"636","","HD","5/8/2016","27.069","16.653","298.627","n","n","n","y","y","n","NONE","y","y","y","y","2","one branch bleached","","KI2015b","HighMed"
"KI15bFSYM018","KI2015b.tag88","KI15bFSYM018","88","coral","KI2015b","Pocillopora_eydouxi","35","dead","KI2015b",35,"88","","HD","5/8/2016","22.52","15.108","152.232","n","n","n","y","y","n","NONE","y","y","y","y","2","two branches fully bleached","","KI2015b","HighMed"
"KI15bFSYM029","KI2015b.tag105","KI15bFSYM029","105","coral","KI2015b","Montipora_foliosa","35","dead","KI2015b",35,"105","","HD","5/8/2016","56.748","43.141","1299.954","n","n","n","y","y","y","Halimeda","y","y","y","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM034","KI2015b.tag116","KI15bFSYM034","116","coral","KI2015b","Pocillopora_eydouxi","35","dead","KI2015b",35,"116","","HD","5/8/2016","13.106","9.093","78.133","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM036","KI2015b.tag120","KI15bFSYM036","120","coral","KI2015b","Pocillopora_eydouxi","35","dead","KI2015b",35,"120","","JM","1/6/2016","31.389","24.071","413.966","n","n","n","y","y","n","NONE","y","y","n","y","1","a few bleached patches ","","KI2015b","HighMed"
"KI15bFSYM037","KI2015b.tag132","KI15bFSYM037","132","coral","KI2015b","Pocillopora_eydouxi","30","dead","KI2015b",30,"132","","HD","5/8/2016","36.945","22.387","441.148","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","VeryHigh"
"KI15bFSYM040","KI2015b.tag129","KI15bFSYM040","129","coral","KI2015b","Pocillopora_eydouxi","30","alive","KI2015b",30,"129","","HD","5/8/2016","42.267","28.912","682.398","n","n","n","y","y","n","NONE","n","y","y","y","2","many branches bleached","","KI2015b","VeryHigh"
"KI15bFSYM044","KI2015b.tag135","KI15bFSYM044","135","coral","KI2015b","Pocillopora_eydouxi","30","gone","KI2015b",30,"135","","HD","15-09-2016","32.194","21.159","382.641","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","VeryHigh"
"KI15bFSYM052","KI2015b.tag149","KI15bFSYM052","149","coral","KI2015b","Pocillopora_eydouxi","30","dead","KI2015b",30,"149","","HD","15-09-2016","26.419","24.098","409.663","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","VeryHigh"
"KI15bFSYM054","KI2015b.tag151","KI15bFSYM054","151","coral","KI2015b","Porites_lobata","30","alive","KI2015b",30,"151","","HD","15-09-2016","36.539","31.14","846.224","n","y","n","y","y","n","NONE","y","y","y","y","1"," many small spots","","KI2015b","VeryHigh"
"KI15bFSYM059","KI2015b.tag428","KI15bFSYM059","428","coral","KI2015b","Montipora_foliosa","30","gone","KI2015b",30,"428","","HD","15-09-2016","49.739","17.299","724.641","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","VeryHigh"
"KI15bFSYM063","KI2015b.tag434","KI15bFSYM063","434","coral","KI2015b","Porites_lobata","30","gone","KI2015b",30,"434","","HD","15-09-2016","25.186","18.612","395.127","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","VeryHigh"
"KI15bFSYM071","KI2015b.tag440","KI15bFSYM071","440","coral","KI2015b","Pocillopora_eydouxi","30","dead","KI2015b",30,"440","","JM","2/6/2016","46.927","43.973","1243.278","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015b","VeryHigh"
"KI15bFSYM073","KI2015b.tag446","KI15bFSYM073","446","coral","KI2015b","Montipora_foliosa","30","UK","KI2015b",30,"446","","JM","2/6/2016","46.405","35.915","1016.413","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","VeryHigh"
"KI15bFSYM129","KI2015b.tag133","KI15bFSYM129","133","coral","KI2015b","Montipora_foliosa","30","gone","KI2015b",30,"133","","JM","2/6/2016","24.782","23.205","324.83","n","n","n","y","y","n","NONE","y","y","n","y","1","small bleached patch ","","KI2015b","VeryHigh"
"KI15bFSYM133","KI2015b.tag445_683","KI15bFSYM133","445_683","coral","KI2015b","Porites_lobata","30","gone","KI2015b",30,"445_683","","JM","8/6/2016","59.916","51.567","2378.294","n","y","n","y","y","n","NONE","y","y","y","y","1","many small bleached spots","","KI2015b","VeryHigh"
"KI15bFSYM141","KI2015b.tag451_871","KI15bFSYM141","451_871","coral","KI2015b","Porites_lobata","27","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bFSYM143","KI2015b.tag469","KI15bFSYM143","469","coral","KI2015b","Pocillopora_eydouxi","27","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bFSYM145","KI2015b.tag46","KI15bFSYM145","46","coral","KI2015b","Porites_lobata","27","alive","KI2015b",27,"46","","HD","20-05-2016","13.16","12.549","107.532","n","n","n","y","y","n","NONE","n","y","y","y","1","many small spots","","KI2015b","VeryHigh"
"KI15bFSYM146","KI2015b.tag684","KI15bFSYM146","684","coral","KI2015b","Montipora_foliosa","27","gone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bFSYM150","KI2015b.tag688","KI15bFSYM150","688","coral","KI2015b","Pocillopora_eydouxi","27","gone","KI2015b",27,"688","","JL","6/5/2016","17.876","12.127","125.577","n","n","n","y","y","n","NONE","n","y","n","n","NONE","","","KI2015b","VeryHigh"
"KI15bFSYM154","KI2015b.tag109","KI15bFSYM154","109","coral","KI2015b","Pocillopora_eydouxi","35","dead","KI2015b",35,"109","","JM","1/6/2016","29.172","25.067","353.249","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM155","KI2015b.tag114_692","KI15bFSYM155","114_692","coral","KI2015b","Pocillopora_eydouxi","35","UK","KI2015b",35,"114_692","","JM","1/6/2016","29.161","24.233","416.561","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM158","KI2015b.tag121_693","KI15bFSYM158","121_693","coral","KI2015b","Montipora_foliosa","35","dead","KI2015b",35,"121_693","","JM","1/6/2016","26.047","20.061","298.353","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM159","KI2015b.tag122b","KI15bFSYM159","122b","coral","KI2015b","Porites_lobata","35","gone","KI2015b",35,"122b","","JM","1/6/2016","45.054","31.82","833.309","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM160","KI2015b.tag123","KI15bFSYM160","123","coral","KI2015b","Pocillopora_eydouxi","35","gone","KI2015b",35,"123","","JM","2/6/2016","23.579","19.172","165.883","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM165","KI2015b.tag60","KI15bFSYM165","60","coral","KI2015b","Montipora_foliosa","8","dead","KI2015b",8,"60","","JM","1/6/2016","24.582","21.604","386.848","n","n","n","y","y","n","NONE","y","y","y","n","NONE ","","","KI2015b","HighMed"
"KI15bFSYM170","KI2015b.tag69_875","KI15bFSYM170","69_875","coral","KI2015b","Montipora_foliosa","8","UK","KI2015b",8,"69_875","","HD","2/8/2016","35.591","24.706","676.609","n","n","n","y","y","y","Halimeda","y","y","y","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM173","KI2015b.tag84","KI15bFSYM173","84","coral","KI2015b","Pocillopora_eydouxi","8","dead","KI2015b",8,"84","","JM","1/6/2016","27.298","21.354","257.405","n","n","n","y","y","y","Halimeda","y","y","n","y","1","few branches bleaching","","KI2015b","HighMed"
"KI15bFSYM174","KI2015b.tag85","KI15bFSYM174","85","coral","KI2015b","Montipora_foliosa","8","gone","KI2015b",8,"85","","JL","5/4/2016","43.037","24.704","606.607","n","n","n","y","y","y","Halimeda, Peysson_red","y","y","y","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM175","KI2015b.tag86","KI15bFSYM175","86","coral","KI2015b","Pocillopora_eydouxi","8","gone","KI2015b",8,"86","","JM","1/6/2016","27.844","19.416","321.519","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM176","KI2015b.tag241","KI15bFSYM176","241","coral","KI2015b","Porites_lobata","8","alive","KI2015b",8,"241","","NO","23-03-2017","23.527","18.322","362.3","n","y","n","y","y","n","NONE","y","y","y","y","1","one severely bleached patch <5cm","","KI2015b","HighMed"
"KI15bFSYM180","KI2015b.tag256_697","KI15bFSYM180","256_697","coral","KI2015b","Montipora_foliosa","8","dead","KI2015b",8,"256_697","","JM","1/6/2016","24.55","23.731","284.952","n","n","n","y","y","y","Halimeda","y","y","y","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM181","KI2015b.tag698","KI15bFSYM181","698","coral","KI2015b","Montipora_foliosa","8","dead","KI2015b",8,"698","","JM","2/6/2016","38.638","23.958","569.773","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM182","KI2015b.tag717","KI15bFSYM182","717","coral","KI2015b","Porites_lobata","8","UK","KI2015b",8,"717","","JM","2/6/2016","28.02","22.694","438.637","n","y","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM183","KI2015b.tag718","KI15bFSYM183","718","coral","KI2015b","Pocillopora_eydouxi","8","dead","KI2015b",8,"718","","JM","3/6/2016","24.627","23.966","345.243","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM199","KI2015b.tag721","KI15bFSYM199","721","coral","KI2015b","Montipora_foliosa","27","gone","KI2015b",27,"721","","HD","20-05-2016","30.147","23.159","315.629","n","n","n","y","y","n","NONE","n","y","n","n","NONE","","","KI2015b","VeryHigh"
"KI15bFSYM208","KI2015b.tag730","KI15bFSYM208","730","coral","KI2015b","Montipora_foliosa","27","dead","KI2015b",27,"730","","JM","25-05-2016","26.543","18.205","278.394","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","VeryHigh"
"KI15bFSYM209","KI2015b.tag731","KI15bFSYM209","731","coral","KI2015b","Pocillopora_eydouxi","27","gone","KI2015b",27,"731","","JM","25-05-2016","24.32","21.48","310.924","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015b","VeryHigh"
"KI15bFSYM210","KI2015b.tag732","KI15bFSYM210","732","coral","KI2015b","Montipora_foliosa","27","gone","KI2015b",27,"732","","JM","25-05-2016","23.576","20.364","295.596","n","n","n","y","y","y","Halimeda","n","y","n","n","NONE","","","KI2015b","VeryHigh"
"KI15aFSYM093","KI2015a_Post.tag15","KI15aFSYM093","15","coral","KI2015a_Post","Porites_lobata","35","alive","KI2015a",35,"15","_Post","JL","24-03-2016","73.92","44.676","1867.252","n","y","n","y","y","y","Caulerpa, Peysson_red","y","y","y","n","NONE","bright pink disease around edges","","KI2015a_Post","HighMed"
"KI15aFSYM136","KI2015a_Post.tag142","KI15aFSYM136","142","coral","KI2015a_Post","Pocillopora_eydouxi","30","UK","KI2015a",30,"142","_Post","JL","22-03-2016","24.31","21.09","260.181","n","n","n","y","y","n","NONE","y","y","n","y","1","the tip of one branch is bleaching <5cm","","KI2015a_Post","VeryHigh"
"KI15bFSYM135","KI2015b.tag474","KI15bFSYM135","474","coral","KI2015b","Porites_lobata","27","gone","KI2015b",27,"474","","HD","6/5/2016","9.598","8.515","66.537","n","n","n","y","y","n","NONE","n","y","y","y","2","much of coral bleaching, many smaller patches","","KI2015b","VeryHigh"
"KI14FSYM136","KI2014.tag136","KI14FSYM136","136","coral","KI2014","Porites_lobata","30","gone","KI2014",30,"136","","JL","17-02-2016","29.32","23.286","551.707","n","y","n","y","y","n","NONE","n","y","n","n","NONE","","","KI2014","VeryHigh"
"KI15aFSYM132","KI2015a_Post.tag136","KI15aFSYM132","136","coral","KI2015a_Post","Porites_lobata","30","gone","KI2015a",30,"136","_Post","JL","22-03-2016","31.556","27.738","736.193","n","y","n","y","y","n","NONE","y","y","y","n","NONE","bright pink disease around algal patch","","KI2015a_Post","VeryHigh"
"KI15aFSYM154","KI2015a_Post.tag468","KI15aFSYM154","468","coral","KI2015a_Post","Pocillopora_eydouxi","27","UK","KI2015a",27,"468","_Post","JL","22-03-2016","16.423","14.536","125.463","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015a_Post","VeryHigh"
"KI15bFSYM134","KI2015b.tag476","KI15bFSYM134","476","coral","KI2015b","Porites_lobata","27","gone","KI2015b",27,"476","","HD","6/5/2016","14.678","9.921","106","n","y","n","y","y","n","NONE","y","y","y","y","2","much of coral bleaching, many smaller patches","","KI2015b","VeryHigh"
"KI14FSYM451","KI2014.tag451_871","KI14FSYM451","451_871","coral","KI2014","Porites_lobata","27","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bFSYM041","KI2015b.tag131","KI15bFSYM041","131","coral","KI2015b","Porites_lobata","30","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14FSYM063","KI2014.tag63","KI14FSYM063","63","coral","KI2014","Porites_lobata","8","alive","KI2014",8,"63","","JL","1/2/2016","29.704","24.321","408.447","n","n","n","y","y","n","NONE","y","y","y","y","2","large patches of bleaching ","","KI2014","HighMed"
"KI15bFSYM128","KI2015b.tag682","KI15bFSYM128","682","coral","KI2015b","Porites_lobata","30","gone","KI2015b",30,"682","","NO","23-03-2017","27.9","20.663","396.788","n","y","n","y","y","n","NONE","y","y","n","n","NONE","2.54cm scale used","","KI2015b","VeryHigh"
"KI14FSYM135","KI2014.tag135","KI14FSYM135","135","coral","KI2014","Pocillopora_eydouxi","30","gone","KI2014",30,"135","","JL","17-02-2016","25.491","17.09","234.333","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2014","VeryHigh"
"KI14FSYM008","KI2014.tag8","KI14FSYM008","8","coral","KI2014","Porites_lobata","35","UK","KI2014",35,"8","","JL","20-01-2016","48.676","34.719","1190.738","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2014","HighMed"
"KI15bFSYM064","KI2015b.tag436","KI15bFSYM064","436","coral","KI2015b","Pocillopora_eydouxi","30","UK","KI2015b",30,"436","","HD","15-09-2016","39.236","24.064","662.267","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b","VeryHigh"
"KI15aFSYM107","KI2015a_Post.tag106","KI15aFSYM107","106","coral","KI2015a_Post","Pocillopora_eydouxi","35","dead","KI2015a",35,"106","_Post","HD","23-03-2016","23.912","22.565","326.909","n","n","n","n","y","y","Halimeda, Peysson_red","n","y","y","n","NONE","","","KI2015a_Post","HighMed"
"KI15aFSYM085","KI2015a_Post.tag5","KI15aFSYM085","5","coral","KI2015a_Post","Porites_lobata","35","alive","KI2015a",35,"5","_Post","JL","22-03-2016","87.012","55.353","2652.834","n","y","n","y","y","y","Halimeda, Peysson_red","y","y","y","n","NONE","bright pink disease around edges","","KI2015a_Post","HighMed"
"KI15aFSYM010","KI2015a_Pre.tag9","KI15aFSYM010","9","coral","KI2015a_Pre","Pocillopora_eydouxi","35","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bFSYM006","KI2015b.tag8","KI15bFSYM006","8","coral","KI2015b","Porites_lobata","35","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aFSYM146","KI2015a_Post.tag387","KI15aFSYM146","387","coral","KI2015a_Post","Porites_lobata","30","gone","KI2015a",30,"387","_Post","DL","23-03-2016","45.619","30.002","808.642","n","y","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015a_Post","VeryHigh"
"KI15aFSYM131","KI2015a_Post.tag135","KI15aFSYM131","135","coral","KI2015a_Post","Pocillopora_eydouxi","30","gone","KI2015a",30,"135","_Post","JL","22-03-2016","28.267","20.126","320.871","n","n","n","y","y","n","NONE","n","y","n","n","NONE","","","KI2015a_Post","VeryHigh"
