"","ASV30","ASV79","ASV83","ASV91","ASV162","ASV171","ASV188","ASV304","ASV361","ASV464","ASV500","ASV643","ASV835","ASV1195","ASV1283","ASV1362","ASV1467","ASV1469","ASV1537","ASV1649","ASV1785","ASV1856","ASV1888","ASV1929","ASV2357","ASV2946","ASV3193","ASV3505","ASV3662","ASV6111","ASV6362","ASV6437","ASV6583","ASV7018","ASV7266","ASV7404","ASV8175","ASV9596","ASV10624","ASV12064","ASV12069","ASV12437"
"ASV30",0,0.00335570469798658,0.00335570469798658,0.00335570469798658,0.00671140939597315,0.00671140939597315,0.00335570469798658,0.00671140939597315,0.00671140939597315,0.00335570469798658,0.00671140939597315,0.00671140939597315,0.0185873605947955,0.0138888888888889,0.00335570469798658,0.0100671140939597,0.00335570469798658,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.00671140939597315,0.0100671140939597,0.0100671140939597,0,0.00671140939597315,0.00335570469798658,0.00335570469798658,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.00671140939597315,0.0167785234899329,0.0134228187919463,0.00671140939597315,0.0100671140939597,0.0976430976430976,0,0.00335570469798658,0.00335570469798658
"ASV79",0.00335570469798658,0,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.00335570469798658,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0223048327137546,0.0173611111111111,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.00335570469798658,0.0100671140939597,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0201342281879195,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.0942760942760943,0.00335570469798658,0.00671140939597315,0.00671140939597315
"ASV83",0.00335570469798658,0.00671140939597315,0,0.00671140939597315,0.0100671140939597,0.00335570469798658,0.00671140939597315,0.00335570469798658,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0148698884758364,0.0173611111111111,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.00335570469798658,0.0100671140939597,0.00671140939597315,0,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0201342281879195,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.101010101010101,0.00335570469798658,0.00671140939597315,0.00671140939597315
"ASV91",0.00335570469798658,0.00671140939597315,0.00671140939597315,0,0.00335570469798658,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.00335570469798658,0.0100671140939597,0.0223048327137546,0.0104166666666667,0.00671140939597315,0.0134228187919463,0.00671140939597315,0.0134228187919463,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.00335570469798658,0.00671140939597315,0.00671140939597315,0.00335570469798658,0.0100671140939597,0.00671140939597315,0.00671140939597315,0.00335570469798658,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.0942760942760943,0.00335570469798658,0.00671140939597315,0.00671140939597315
"ASV162",0.00671140939597315,0.0100671140939597,0.0100671140939597,0.00335570469798658,0,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.0260223048327138,0.0138888888888889,0.0100671140939597,0.0167785234899329,0.0100671140939597,0.0167785234899329,0.0100671140939597,0.00335570469798658,0.00335570469798658,0.0134228187919463,0.0134228187919463,0.00671140939597315,0.00335570469798658,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.0100671140939597,0,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.0976430976430976,0.00671140939597315,0.0100671140939597,0.0100671140939597
"ASV171",0.00671140939597315,0.0100671140939597,0.00335570469798658,0.0100671140939597,0.0134228187919463,0,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0111524163568773,0.0173611111111111,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.00335570469798658,0.0134228187919463,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.023489932885906,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.104377104377104,0.00671140939597315,0.0100671140939597,0.0100671140939597
"ASV188",0.00335570469798658,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0223048327137546,0.0173611111111111,0.00671140939597315,0.0134228187919463,0.00671140939597315,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.00335570469798658,0.0100671140939597,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0201342281879195,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.101010101010101,0.00335570469798658,0.00671140939597315,0.00671140939597315
"ASV304",0.00671140939597315,0.0100671140939597,0.00335570469798658,0.0100671140939597,0.0134228187919463,0.00671140939597315,0.0100671140939597,0,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0185873605947955,0.0208333333333333,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.00671140939597315,0.0134228187919463,0.00671140939597315,0.00335570469798658,0.0134228187919463,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.023489932885906,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.104377104377104,0.00671140939597315,0.0100671140939597,0.0100671140939597
"ASV361",0.00671140939597315,0.00335570469798658,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.0134228187919463,0,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0260223048327138,0.0208333333333333,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.00335570469798658,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.023489932885906,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.0976430976430976,0.00671140939597315,0.0100671140939597,0.0100671140939597
"ASV464",0.00335570469798658,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0100671140939597,0,0.0100671140939597,0.0100671140939597,0.0223048327137546,0.0173611111111111,0.00671140939597315,0.0134228187919463,0.00671140939597315,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.00335570469798658,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.00335570469798658,0.0100671140939597,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0201342281879195,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.101010101010101,0.00335570469798658,0.00671140939597315,0.00671140939597315
