A121
A113
C15
C42
C1a
C3k
C31a
C3
C31
C1226
C1
C4
C1j
C1198
C1b/C1e
C1233
C21/3d/C3k
C1094
C15a
C1f
C32
C1103
C1197
C21/C32
C1c/C45
C1d
C21
D1a
D1
D2
F5
F3
F114
G100
G3
