#SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site	Status	Year_Pre_Post
KI15aFSYM023	KI15aFSYM023_MERGED-MAX-MISMATCH-3	NA	sediment	2015Jan	23	sediment	27	NA	2015Jan_Post
KI15aFSYM024	KI15aFSYM024_MERGED-MAX-MISMATCH-3	NA	sediment	2015Jan	24	sediment	27	NA	2015Jan_Post
KI15aFSYM025	KI15aFSYM025_MERGED-MAX-MISMATCH-3	NA	sediment	2015Jan	25	sediment	8	NA	2015Jan_Post
KI15aFSYM026	KI15aFSYM026_MERGED-MAX-MISMATCH-3	NA	sediment	2015Jan	26	sediment	8	NA	2015Jan_Post
KI15aFSYM027	KI15aFSYM027_MERGED-MAX-MISMATCH-3	NA	sediment	2015Jan	27	sediment	8	NA	2015Jan_Post
KI15aFSYM029	KI15aFSYM029_MERGED-MAX-MISMATCH-3	NA	sediment	2015Jan	29	sediment	8	NA	2015Jan_Post
KI15aFSYM030	KI15aFSYM030_MERGED-MAX-MISMATCH-3	NA	sediment	2015Jan	30	sediment	8	NA	2015Jan_Post
KI15bFSYM001	KI15bFSYM001_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	1	sediment	35	NA	2015May
KI15bFSYM002	KI15bFSYM002_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	2	sediment	35	NA	2015May
KI15bFSYM003	KI15bFSYM003_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	3	sediment	35	NA	2015May
KI15bFSYM004	KI15bFSYM004_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	4	sediment	35	NA	2015May
KI15bFSYM005	KI15bFSYM005_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	5	sediment	35	NA	2015May
KI15bFSYM006	KI15bFSYM006_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	6	sediment	35	NA	2015May
KI15bFSYM007	KI15bFSYM007_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	7	sediment	30	NA	2015May
KI15bFSYM008	KI15bFSYM008_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	8	sediment	30	NA	2015May
KI15bFSYM009	KI15bFSYM009_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	9	sediment	30	NA	2015May
KI15bFSYM010	KI15bFSYM010_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	10	sediment	30	NA	2015May
KI15bFSYM012	KI15bFSYM012_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	12	sediment	30	NA	2015May
KI15bFSYM013	KI15bFSYM013_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	13	sediment	27	NA	2015May
KI15bFSYM014	KI15bFSYM014_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	14	sediment	27	NA	2015May
KI15bFSYM015	KI15bFSYM015_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	15	sediment	27	NA	2015May
KI15bFSYM016	KI15bFSYM016_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	16	sediment	27	NA	2015May
KI15bFSYM017	KI15bFSYM017_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	17	sediment	27	NA	2015May
KI15bFSYM018	KI15bFSYM018_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	18	sediment	27	NA	2015May
KI15bFSYM019	KI15bFSYM019_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	19	sediment	8	NA	2015May
KI15bFSYM021	KI15bFSYM021_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	21	sediment	8	NA	2015May
KI15bFSYM022	KI15bFSYM022_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	22	sediment	8	NA	2015May
KI15bFSYM023	KI15bFSYM023_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	23	sediment	8	NA	2015May
KI15bFSYM024	KI15bFSYM024_MERGED-MAX-MISMATCH-3	NA	sediment	2015May	24	sediment	8	NA	2015May
KI15cSSYM007	KI15cSSYM007_MERGED-MAX-MISMATCH-3	NA	sediment	2015July	7	sediment	27	NA	2015July
KI15cSSYM008	KI15cSSYM008_MERGED-MAX-MISMATCH-3	NA	sediment	2015July	8	sediment	27	NA	2015July
KI15cSSYM009	KI15cSSYM009_MERGED-MAX-MISMATCH-3	NA	sediment	2015July	9	sediment	27	NA	2015July
KI15cSSYM039	KI15cSSYM039_MERGED-MAX-MISMATCH-3	NA	sediment	2015July	39	sediment	8	NA	2015July
KI15cSSYM040	KI15cSSYM040_MERGED-MAX-MISMATCH-3	NA	sediment	2015July	40	sediment	8	NA	2015July
KI15cSSYM042	KI15cSSYM042_MERGED-MAX-MISMATCH-3	NA	sediment	2015July	42	sediment	8	NA	2015July
KI15cSSYM051	KI15cSSYM051_MERGED-MAX-MISMATCH-3	NA	sediment	2015July	51	sediment	32	NA	2015July
KI15cSSYM052	KI15cSSYM052_MERGED-MAX-MISMATCH-3	NA	sediment	2015July	52	sediment	32	NA	2015July
KI15cSSYM054	KI15cSSYM054_MERGED-MAX-MISMATCH-3	NA	sediment	2015July	54	sediment	32	NA	2015July
KI15aFFFF199	KI15aFF199_MERGED-MAX-MISMATCH-3	NA	BLANK	2015Jan	199	BLANK	BLANK	NA	2015Jan
